#{"t_start": 1523432153.9666457, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,155,3.431849
0.0,127,4.998665
0.0,125,6.474357
1.0,155,8.402989
0.0,127,9.902263
2.0,221,12.679786
1.0,157,14.555212
0.0,129,16.116194
1.0,155,18.00921
7.0,382,22.952878
2.0,200,25.474001
7.0,304,29.367804
2.0,182,31.626127
0.0,129,33.199681
1.0,157,35.146075
2.0,202,37.672575
4.0,300,41.47614
3.0,273,44.969969
2.0,224,47.792074
3.0,252,50.969004
0.0,125,52.487757
0.0,127,53.999313
0.0,129,55.570833
1.0,178,57.776452
1.0,173,59.94931
3.0,252,63.131724
0.0,127,64.654994
0.0,127,66.227016
0.0,125,67.756421
